model_name,base_test_mae,base_test_rmse,base_test_r2,context_test_mae,context_test_rmse,context_test_r2,rmse_delta,mae_delta,r2_delta,improved_with_context
XGBoost,0.537991307586957,1.5426859567094955,0.8771247346523979,0.541201885813283,1.5514877188000396,0.8757186103026541,0.008801762090544063,0.0032105782263259774,-0.0014061243497438536,False
Random Forest,0.5377164038561193,1.5493312464318618,0.8760638571534651,0.5415563341415928,1.5588269373211925,0.8745400181040057,0.009495690889330666,0.0038399302854734696,-0.0015238390494594078,False
Gradient Boosting,0.5729194473440835,1.6007897919722285,0.8676944602391066,0.5719567194517071,1.598143288703622,0.8681315664789828,-0.0026465032686064927,-0.0009627278923763916,0.0004371062398762504,True
Ridge Regression,0.5780413411181503,1.6407173658151086,0.8610121086367537,0.5921748733315173,1.6432198128922626,0.8605878124207393,0.0025024470771539686,0.014133532213366995,-0.00042429621601436374,False
GRU,0.6115121841430664,1.7169060959862343,0.8487023711204529,0.6641095876693726,1.6824574187106598,0.8547128438949585,-0.034448677275574546,0.05259740352630615,0.006010472774505615,True
LSTM,0.5843058824539185,1.7072997416719795,0.8503907322883606,0.6004408001899719,1.6591762387765805,0.8587058782577515,-0.04812350289539902,0.016134917736053467,0.00831514596939087,True
Temporal CNN,0.5647072196006775,1.5096273618014593,0.8830289244651794,0.5582653284072876,1.5664423227318511,0.8740588426589966,0.056814960930391845,-0.006441891193389893,-0.008970081806182861,False
Seasonal Naive,0.7328630705394191,2.303470230702893,0.7260479059971883,0.7328630705394191,2.303470230702893,0.7260479059971883,0.0,0.0,0.0,False
