model_name,model_family,scenario,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,validation_mae,validation_rmse,validation_r2,validation_smape,test_mae,test_rmse,test_r2,test_smape
XGBoost,tabular,contextual,0.5889669846422784,0.0172082174943593,1.7229842364534511,0.048451026205749585,0.8718702695146666,0.005027876996271592,0.5724358008951876,1.6921054465695413,0.8604929770579395,171.21893104591928,0.541201885813283,1.5514877188000396,0.8757186103026541,170.25323303437497
Random Forest,tabular,contextual,0.5859582365132735,0.018328114237803655,1.7319675128859338,0.0480754449693872,0.8704387785740222,0.006928071342020659,0.5617792578286632,1.6801464296137498,0.8624579506172376,171.19024890378222,0.5415563341415928,1.5588269373211925,0.8745400181040057,170.15557359066457
Gradient Boosting,tabular,contextual,0.6164742286054207,0.01605869226506615,1.7568472111925928,0.04752225212024937,0.8667579730225917,0.005674660350488699,0.6014357720648295,1.7186688593897128,0.8560785120501827,171.44865767404653,0.5719567194517071,1.598143288703622,0.8681315664789828,170.5398963245333
Temporal CNN,deep_sequence,contextual,0.599588930606842,0.02864323932179447,1.7842619971673317,0.08394612786781948,0.8638627131779989,0.01187076418508225,0.627120316028595,1.7559237356982162,0.8598480224609375,171.6194610595703,0.5582653284072876,1.5664423227318511,0.8740588426589966,163.55433654785156
Ridge Regression,tabular,contextual,0.6481691030772495,0.03861085501567708,1.79829578031363,0.032161092111554476,0.8602199015671156,0.008364655799992415,0.6361838000861065,1.7833182715559122,0.8450473732177785,88.66225065466496,0.5921748733315173,1.6432198128922626,0.8605878124207393,80.46350633282971
LSTM,deep_sequence,contextual,0.6930864254633585,0.09361368774020443,1.9356745833315856,0.12171340040862424,0.8400974074999491,0.013926030573607598,0.6200467944145203,1.7118189383244367,0.8668001890182495,168.99534606933594,0.6004408001899719,1.6591762387765805,0.8587058782577515,165.78814697265625
GRU,deep_sequence,contextual,0.6950915455818176,0.0942989133368272,1.9544312775923285,0.12972251474239144,0.8368569612503052,0.016315011822079416,0.7107318043708801,1.7620017761108937,0.85887610912323,169.82594299316406,0.6641095876693726,1.6824574187106598,0.8547128438949585,169.98028564453125
Seasonal Naive,tabular,contextual,0.8239873542778108,0.021467505081591707,2.6928234526582546,0.08524877537436057,0.6867072340368502,0.019506727607459983,0.8204979253112034,2.6485257779905593,0.6582176490094636,27.60652360901432,0.7328630705394191,2.303470230702893,0.7260479059971883,26.854971523926096
