dataset,column,count,mean,std,min,25%,50%,75%,max
Weather Dataset,temperature,2184.0,3.4625457875457877,5.442987151987625,-8.9,-0.6,3.4,7.2,21.6
Weather Dataset,precipitation,2184.0,0.2038919413919414,0.9128885554424964,0.0,0.0,0.0,0.0,14.8
Weather Dataset,snowfall,2184.0,0.017467948717948722,0.1409348048553328,0.0,0.0,0.0,0.0,2.38
Weather Dataset,wind_speed,2184.0,14.016529304029303,7.300116819957873,0.0,8.4,12.7,18.6,57.3
Weather Dataset,humidity,2184.0,68.75778388278388,19.83219650402015,23.0,52.0,69.0,86.0,100.0
Weather Dataset,weather_code,2184.0,11.636904761904763,22.08606686889149,0.0,0.0,3.0,3.0,75.0
