model_name,benchmark_name,mae,rmse,r2,smape
LSTM 24H Forecaster,Previous 24 Hours Naive,0.645872175693512,1.9403533229382541,0.796035885810852,136.56439208984375
GRU 24H Forecaster,Previous 24 Hours Naive,0.7119147777557373,1.9265785037178083,0.798921525478363,146.00460815429688
Temporal CNN 24H Forecaster,Previous 24 Hours Naive,0.946894645690918,2.7381534301702892,0.5938301086425781,159.69786071777344
Previous 24 Hours Naive,Previous 24 Hours Naive,0.6763554811477661,2.1355306331337163,0.7529392242431641,25.390684127807617
