model_name,model_family,scenario,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,validation_mae,validation_rmse,validation_r2,validation_smape,test_mae,test_rmse,test_r2,test_smape
XGBoost,tabular,base,0.5842610552665556,0.016759206031173573,1.7123274493510792,0.04757077310203821,0.8734016658557845,0.005992201589749369,0.5679853809943337,1.678202650582319,0.8627760142050642,171.23606615194487,0.537991307586957,1.5426859567094955,0.8771247346523979,170.27092531189743
Random Forest,tabular,base,0.5829603103877136,0.022384797354087237,1.722351572726419,0.04861386699745729,0.8718752462781681,0.006873693056289066,0.5567192997247843,1.6738760946129267,0.8634826534653186,171.11849576064583,0.5377164038561193,1.5493312464318618,0.8760638571534651,170.11065322271622
Gradient Boosting,tabular,base,0.6158778593932128,0.016505847805172072,1.7554183979174154,0.04578354074598705,0.8669624516514166,0.005798929899170838,0.6012703220727492,1.719744949803514,0.8558982318095096,171.4492716353484,0.5729194473440835,1.6007897919722285,0.8676944602391066,170.51334184551342
Ridge Regression,tabular,base,0.6385361879561652,0.03477350176870804,1.7972899534746425,0.03472790899554508,0.8603917758321629,0.008211835748069241,0.615331534363387,1.7791021009388066,0.8457791937116839,73.4426172886169,0.5780413411181503,1.6407173658151086,0.8610121086367537,71.33119295232837
GRU,deep_sequence,base,0.6791825493176779,0.041363399849922294,1.8887627582398088,0.0852924609068003,0.8478291829427084,0.007799665490368183,0.5918154120445251,1.7353057425937743,0.8631200194358826,165.0819091796875,0.6115121841430664,1.7169060959862343,0.8487023711204529,170.49497985839844
LSTM,deep_sequence,base,0.6648450096448263,0.07083501010335896,1.89310361199602,0.12194866315167605,0.8472167253494263,0.011799084670364517,0.5796403884887695,1.744595492897391,0.8616505861282349,160.2877197265625,0.5843058824539185,1.7072997416719795,0.8503907322883606,154.4665985107422
Temporal CNN,deep_sequence,base,0.6984963417053223,0.20856423892729253,2.1256085961851636,0.6142602844607504,0.7943103909492493,0.11454488933724925,0.6034821271896362,1.6649031687121458,0.8740013241767883,171.73388671875,0.5647072196006775,1.5096273618014593,0.8830289244651794,171.2047119140625
Seasonal Naive,tabular,base,0.8239873542778108,0.021467505081591707,2.6928234526582546,0.08524877537436057,0.6867072340368502,0.019506727607459983,0.8204979253112034,2.6485257779905593,0.6582176490094636,27.60652360901432,0.7328630705394191,2.303470230702893,0.7260479059971883,26.854971523926096
